,date,entry,type,amount,state,district,block,gp,N_vil
0,2015-04-01,Opening Balance,Balance,"880,170.4",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
1,2015-04-06,Payment,Expenditures,945,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
2,2015-04-06,Receipt,Direct Receipts,"3,560",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
3,2015-04-23,Payment,Expenditures,"4,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
4,2015-04-23,Payment,Expenditures,"6,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
5,2015-04-28,Payment,Expenditures,"2,655",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
6,2015-05-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
7,2015-05-05,Payment,Expenditures,905,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
8,2015-05-05,Receipt,Direct Receipts,"3,560",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
9,2015-05-29,Payment,Expenditures,"2,615",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
10,2015-06-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
11,2015-06-03,Payment,Expenditures,"55,260",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
12,2015-06-03,Receipt,Direct Receipts,"78,176",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
13,2015-06-05,Receipt,Direct Receipts,"3,560",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
14,2015-06-05,Payment,Expenditures,945,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
15,2015-06-09,Receipt,Direct Receipts,"165,900",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
16,2015-06-09,Receipt,Direct Receipts,"4,567",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
17,2015-06-19,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
18,2015-06-24,Payment,Expenditures,"2,615",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
19,2015-06-25,Receipt,Direct Receipts,"6,953",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
20,2015-06-25,Receipt,Direct Receipts,"5,042",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
21,2015-06-25,Receipt,Direct Receipts,"3,415",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
22,2015-07-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
23,2015-07-03,Receipt,Direct Receipts,"25,200",ODISHA,ANUGUL,ANUGUL,ANGARBANDHA,5
