Name,District,Year,Receipt,Expenditure
Anandapur ,Keonjhar,2015,377753198.4,298753606.24
Anugul ,Anugul,2015,526617528.29,488465920.24
Aska,Ganjam,2015,289286762.0,238275195.0
Athagarh N.A.C,Cuttack,2015,239287754.98,210969261.84
Athamallik ,Angul,2015,171229153.0,125863800.74
Athamallik ,Anugul,2015,30198639.0,19109310.0
Attabira ,Baragarh,2015,105594907.64,20029115.08
Balasore ,Balasore,2015,1627910541.2,1393920919.9
Balimela,Koraput,2015,273399524.0,236631062.0
Balliguda ,Phulbani,2015,81613026.0,33813762.0
Balugaon ,Khurda,2015,280950573.48,249119575.92000002
Banki N.A.C.,Cuttack,2015,287998368.88,258264292.0
Banpur ,Khurda,2015,176303586.6,146342794.3
Barbil ,Keonjhar,2015,698909089.2,634222538.45
Bargarh ,Baragarh,2015,1095703309.0,935860487.0
Baripada ,Mayurbhanj,2015,1552053526.0,1380285366.0
Barpali ,Baragarh,2015,317918452.51,230042765.73
Basudevpur ,Bhadrak,2015,277033252.0,230369185.0
Basudevpur Muicipality,Bhadrak,2015,96616726.0,71826984.0
Bellaguntha,Ganjam,2015,177505707.0,152261853.0
Belpahar,Jharsuguda ,2015,648769049.0,624315457.0
Berhampur,Ganjam,2015,6930623370.0,3565221803.0
Bhadrak ,Bhadrak,2015,1104135088.4,826355692.8299999
Bhanjanagar,Ganjam,2015,270126427.0,210825784.0
Bhawanipatna ,Kalahandi,2015,776648600.0,751223671.0
Bhuban,Dhenkanal,2015,333758460.0,273970076.0
Binka N A C,Bolangir,2015,144981295.0,118698758.0
Binka N A C,Boudh,2015,219008499.0,136777230.09
Biramitrapur ,Sundergarh,2015,552502548.0,467221931.0
Bolangir ,Bolangir,2015,1013765858.0,849938840.0
Boudh ,Boudh,2015,427095075.69,361932891.4
Brajarajnagar,Jharsuguda ,2015,1017660530.0,975081696.0
Buguda,Ganjam,2015,206436786.0,175726591.0
Burla ,Sambalpur,2015,360756476.0,345811524.0
Champua ,Keonjhar,2015,30246497.0,6792095.81
Chatrapur,Ganjam,2015,312652943.0,237902798.0
Chikiti,Ganjam,2015,202753043.0,164639584.0
Choudwar ,Cuttack,2015,511180995.4,472850009.35
Cuttack Municipal Corporation,Cuttack,2015,6072007426.8,5306140700.0
DASAPALLA ,Khurda,2015,32659588.0,10296375.0
DHAMANAGAR ,Bhadrak,2015,39543757.0,18804969.18
Deogarh ,Deogarh,2015,402159081.78999996,320626614.5
Dharamgarh ,Kalahandi,2015,89668531.0,53839137.0
Dhenkanal,Dhenkanal,2015,821965652.0,830465834.0
Digapahandi,Ganjam,2015,165719835.0,118168470.0
G.Udayagiri,Phulbani,2015,232371635.0,205578246.0
Ganjam,Ganjam,2015,162872146.0,138742555.0
Gopalpur,Ganjam,2015,194163850.0,170512718.0
Gudari ,Rayagada,2015,146562722.0,113445552.0
Gunpur ,Rayagada,2015,422187723.0,387150850.0
Hindol,Dhenkanal,2015,72682804.0,46325241.0
Hinjilicut,Ganjam,2015,348538929.0,251901703.0
Hirakud ,Sambalpur,2015,360863848.0,369552954.0
Jagatsinghpur ,Jagatsinghpur ,2015,1036000542.0,989910985.0
Jajpur,Jajpur,2015,976041401.0,730284043.0
Jaleswar ,Balasore,2015,284681730.0,259590179.71
Jeypore Municipallity,Koraput,2015,788308169.0,632591848.0
Jharsuguda ,Jharsuguda ,2015,1288813646.0,792766632.0
Joda ,Keonjhar,2015,626899356.2,534719379.9
Junagarh ,Kalahandi,2015,353100427.0,257284524.0
Kabisurya Nagar,Ganjam,2015,249938623.0,221304228.0
Kamakshanagar,Dhenkanal,2015,305903933.0,293159893.0
Kantabanjhi N A C,Bolangir,2015,340048428.42,327515133.0
Karanjia ,Mayurbhanj,2015,311035756.0,269798972.0
Kasinagar,Gajapati ,2015,203320278.0,174350991.0
Kendrapara ,Kendrapada ,2015,502833508.0,421761311.0
Keonjhar ,Keonjhar,2015,821165194.6,707722609.6
Kesinga ,Kalahandi,2015,349902511.0,283232166.0
Khalikote,Ganjam,2015,167763871.0,135477581.0
Khandapada ,Khurda,2015,152601229.0,119811815.0
Khariar Nac,Nuapada,2015,371757765.0,319326331.0
Khariar Road,Nuapada,2015,447370494.0,342439826.0
Khurda ,Khurda,2015,528656872.75,455818735.15
Kodala,Ganjam,2015,160232006.0,99586484.0
Konark ,Puri,2015,202476092.0,174894964.0
Kotpad ,Koraput,2015,235492232.0,175591298.0
Kuchinda ,Sambalpur,2015,391842995.0,338259831.0
Malkangiri,Koraput,2015,450808314.0,405826582.0
Nabarangpur ,Nabarangpur ,2015,408193743.0,368018120.0
Nayagarh ,Khurda,2015,312108214.8,234256980.0
Nilgiri ,Balasore,2015,210802975.5,163503838.36
Nimapara  ,Puri,2015,274495456.0,226390022.0
Nuapada ,Nuapada,2015,95098155.0,32907364.0
Padampur ,Baragarh,2015,263120998.0,229362924.0
Paradeep,Jagatsinghpur ,2015,1029959305.0,871191330.0
Paralakhemundi,Gajapati ,2015,636553363.0,500164378.0
Patnagarh N A C,Bolangir,2015,384874847.74,344190785.2
Pattamundai ,Kendrapada,2015,408623589.0,314642417.0
Phulbani ,Phulbani,2015,713462000.0,645743691.0
Pipli ,Puri,2015,261384733.0,253899881.0
Polasara,Ganjam,2015,273566718.0,240040603.0
Puri ,Puri,2015,3649482590.0,2977863942.0
Purusottampur,Ganjam,2015,210743141.0,183061342.0
RANAPUR ,Khurda,2015,24606646.0,15419521.0
Rairakhol ,Sambalpur,2015,362062226.0,347932800.0
Rairangpur ,Mayurbhanj,2015,327645356.0,293984177.0
Rajgangpur ,Sundergarh,2015,524858848.0,456397141.0
Rambha,Ganjam,2015,168013235.0,126241630.0
Rayagada ,Rayagada,2015,1007365356.0,864415407.0
Rourkela  ,Sundergarh,2015,5124632740.0,4210031141.0
Sambalpur  ,Sambalpur,2015,3310901727.0,2631617098.0
Sonepur ,Boudh,2015,418555321.94,364439993.7
Soro ,Balasore,2015,349244453.5,310629051.02
Sunabeda,Koraput,2015,568047437.0,509951266.0
Sunabeda ,Koraput,2015,106679943.0,105712439.0
Sundargarh ,Sundergarh,2015,525978826.0,463859763.0
Surada,Ganjam,2015,216403451.0,181893481.0
Talcher ,Angul,2015,502082830.7,495905733.1
Talcher ,Anugul,2015,101377067.8,59999983.39
Tarabha N A C,Bolangir,2015,83571369.5,83162322.0
Tarabha N A C,Boudh,2015,76003344.96000001,65615039.69
Titlagarh N A C,Bolangir,2015,403956781.34000003,371421266.44
Tusra ,Bolangir,2015,74896346.1,33574621.0
Udala ,Mayurbhanj,2015,213713158.0,214528058.0
Umerkot ,Nabarangpur ,2015,163670947.0,129898515.0
Umerkot Municipailty,Nabarangpur ,2015,267369360.0,284098108.0
Vysyanagar,Jajpur,2015,759605027.0,651060637.0
Anandapur ,Keonjhar,2020,893828688.5,514116522.1
Anugul ,Angul,2020,498483717.4,320206257.9
Anugul ,Anugul,2020,398893765.0,399732269.6
Aska,Ganjam,2020,496275558.0,475263152.0
Athagarh N.A.C,Cuttack,2020,480830977.9,365988761.43
Athamallik ,Angul,2020,271547539.0,212159298.07999998
Attabira ,Baragarh,2020,420509125.5,254428880.73000002
Balasore ,Balasore,2020,2682600895.8,1722013907.5
Balimela,Koraput,2020,293145080.0,253050875.0
Balliguda ,Phulbani,2020,435353253.0,256763209.0
Balugaon ,Khurda,2020,403669352.03,341537235.93
Banki N.A.C.,Cuttack,2020,449730806.53000003,406355102.42
Banpur ,Khurda,2020,390587248.0,284333069.98
Barbil ,Keonjhar,2020,1342714523.9,1180119713.6
Bargarh ,Baragarh,2020,1656570163.3,1452771215.8
Baripada ,Mayurbhanj,2020,2435967003.0,1908047339.0
Barpali ,Baragarh,2020,631280108.72,512930540.78999996
Basudevpur Muicipality,Bhadrak,2020,862792879.3000001,613094228.47
Bellaguntha,Ganjam,2020,310781296.0,246240279.0
Belpahar,Jharsuguda ,2020,844235014.0,777355217.0
Berhampur,Ganjam,2020,11594943707.0,10468895620.0
Bhadrak ,Bhadrak,2020,2199287070.5,1556083229.5
Bhanjanagar,Ganjam,2020,511615596.0,399701423.0
Bhawanipatna ,Kalahandi,2020,1459494374.0,1108480402.0
Bhuban,Dhenkanal,2020,556993059.0,469252112.0
Bijepur ,Baragarh,2020,290651353.95,162143195.85999998
Binka N A C,Boudh,2020,339817099.9,375608037.06
Biramitrapur ,Sundergarh,2020,706290910.0,494426820.0
Bolangir ,Bolangir,2020,1019241227.3,772655140.2
Boudh ,Boudh,2020,438768263.5,446245893.0
Brajarajnagar,Jharsuguda ,2020,1787859947.0,1482745730.0
Buguda,Ganjam,2020,298719078.0,211518767.0
CHANDABALI ,Bhadrak,2020,533714504.11,202403132.99
Champua ,Keonjhar,2020,389015212.44,311221836.31
Chatrapur,Ganjam,2020,569527637.0,451664568.0
Chikiti,Ganjam,2020,356840145.0,348490230.0
Choudwar ,Cuttack,2020,839142287.2,691811523.2
Cuttack Municipal Corporation,Cuttack,2020,11908376419.0,8472605699.0
DASAPALLA ,Khurda,2020,491293925.0,340984179.21000004
DHAMANAGAR ,Bhadrak,2020,388472652.0,225002855.9
Deogarh ,Deogarh,2020,678158386.0,551578614.4
Dharamgarh ,Kalahandi,2020,395233354.0,254224623.0
Dhenkanal,Dhenkanal,2020,1474631324.0,1289000324.0
Digapahandi,Ganjam,2020,384989512.0,275496878.0
G.Udayagiri,Phulbani,2020,329090550.0,269034672.0
Ganjam,Ganjam,2020,298719078.0,211518767.0
Gopalpur,Ganjam,2020,247992920.0,205731286.0
Gudari ,Rayagada,2020,167073212.0,126934169.0
Gunpur ,Rayagada,2020,684593464.0,514936240.0
Hindol,Dhenkanal,2020,344084282.0,262591093.0
Hinjilicut,Ganjam,2020,773033046.0,758593627.0
Jagatsinghpur ,Jagatsinghpur ,2020,734002164.0,604355288.0
Jajpur,Jajpur,2020,1390072674.0,1251892868.0
Jaleswar ,Balasore,2020,605588098.8199999,445172301.1
Jeypore Municipallity,Koraput,2020,1846039308.0,1307551283.0
Jharsuguda ,Jharsuguda ,2020,2029823728.0,1510552853.0
Joda ,Keonjhar,2020,1030672522.6,897351081.3
Junagarh ,Kalahandi,2020,457733687.0,353358289.0
Kabisurya Nagar,Ganjam,2020,420810198.0,383145919.0
Kamakshanagar,Dhenkanal,2020,490102382.0,466251009.0
Kantabanjhi N A C,Bolangir,2020,527688814.15,433587125.82
Karanjia ,Mayurbhanj,2020,543087488.0,463443220.0
Kasinagar,Gajapati ,2020,369242488.0,252197281.0
Kendrapara ,Kendrapada ,2020,1110903595.0,899610801.0
Keonjhar ,Keonjhar,2020,1494837555.0,1207526629.9
Kesinga ,Kalahandi,2020,483239470.0,363415114.0
Khalikote,Ganjam,2020,335862676.0,259224098.0
Khandapada ,Khurda,2020,259304035.0,203148956.42000002
Khariar Nac,Nuapada,2020,570575752.0,533381101.0
Khariar Road,Nuapada,2020,435976911.0,424096398.0
Khurda ,Khurda,2020,1111592092.6,910221264.9
Kodala,Ganjam,2020,308697843.0,221354250.0
Konark ,Puri,2020,355771837.0,182600838.0
Kotpad ,Koraput,2020,410038929.0,430327279.0
Kuchinda ,Sambalpur,2020,468627886.0,405462960.0
Malkangiri,Koraput,2020,125043527.0,106680834.0
Malkangiri,Malkangiri,2020,644352198.0,469926469.0
